1;[intro]
9;The zones of limits, we often confront them
11;Invisible boundaries that often surpass us
13;Everyone has their limit, in different fields
15;And that's where our differences cause the most pain
17;Limits, barriers, we seek to surpass them
19;But sometimes, we hit impassable walls
21;The zones of limits, it's an unspoken pain
23;When we feel hindered in our most sensitive dreams
25;[ … ]
29;Life is full of zones of limits, it's true
31;Prohibitions, rules to respect
33;We try to push them back, to ignore them
35;But they are there, always present, to remind us
37;Limits, barriers, we seek to surpass them
39;But sometimes, we hit impassable walls
41;The zones of limits, it's an unspoken pain
43;When we feel hindered in our most sensitive dreams
45;[ solo ]
53;Limits, barriers, we seek to surpass them
55;But sometimes, we hit impassable walls
57;The zones of limits, it's an unspoken pain
59;When we feel hindered in our most sensitive dreams
61;[outro]
63;
