Quel est ton ton?;
1;[intro]
9;C'est l'histoire d'un garçon qui n'a pas de ton
11;Il chante toujours faux, ça lui cause des frissons
13;Il rêve d'être une star, de briller sur scène
15;Mais son manque de ton fait rire les hyènes
17;Quel est ton ton, dis-moi mon ami?
19;Le ton de la vie, le ton de l'ennui?
21;Quel est ton ton, celui qui t'anime?
23;Dis-moi quel ton t'a fait perdre la rime?
25;[ … ]
29;Il rencontre une chanteuse au ton rigolo
31;"Elle lui dit: ""Mon ami, ne sois pas si solo"
33;Le secret c'est de chanter avec audace
35;"Même si tu n'as pas le ton qui s'harmonise."""
37;Quel est ton ton, dis-moi mon ami?
39;Le ton des rires, le ton des soucis?
41;Quel est ton ton, celui qui te démarque?
43;Dis-moi quel ton te rend si bizarre?
45;[ solo ]
53;Quel est ton ton, dis-moi mon ami?
55;Le ton des succès, le ton des envies?
57;Quel est ton ton, celui qui te transcende?
59;Dis-moi quel ton en toi se répand?
61;[outro]
63;
