1;[intro]
9;Mon univers est empli de solitude
11;Je préfère me perdre dans des rêveries vides
13;Un regard distant sur les choses futiles
15;Dans cet éloignement, je me sens inutile
17;Je chante des chansons tristes avec douleur
19;Une mélancolie qui m'envahit le cœur
21;Mon esprit se perd dans les pensées sombres
23;Je m'éloigne des sujets qui dérangent et encombrent
25;[ … ]
29;Je ne me censure pas, je ne peux pas mentir
31;C'est juste que je préfère éviter de polémiquer
33;Mon intérêt se porte sur les émotions fugitives
35;Des sourires forcés aux larmes exquises
37;Je chante des chansons tristes avec douleur
39;Une mélancolie qui m'envahit le cœur
41;Mon esprit se perd dans les pensées sombres
43;Je m'éloigne des sujets qui dérangent et encombrent
45;[ solo ]
53;Je chante des chansons tristes avec douleur
55;Une mélancolie qui m'envahit le cœur
57;Mon esprit se perd dans les pensées sombres
59;Je m'éloigne des sujets qui dérangent et encombrent
61;[outro]
63;
