Chaos organisé;
1;[intro]
9;Le matin je me lève, tout est en désordre
11;Les chaussettes mélangées, j'en rigole encore
13;Les clés de la voiture, introuvables comme toujours
15;Mais dans ce chaos, je trouve toujours le bon parcours
17;Dans ma vie c'est le chaos organisé
19;Je suis bordélique, ça me met enjoué
21;Les affaires s'empilent, c'est un vrai capharnaüm
23;Mais je trouve toujours tout, je ne suis pas un p'tit c**!
25;[ … ]
29;Sur mon bureau, les feuilles sont éparpillées
31;Mais je sais exactement où est chaque idée
33;Quand je crée, c'est un véritable foutoir
35;Mais ça me permet de trouver l'inspiration chaque soir
37;Je suis un perfectionniste à ma manière
39;Même si tout est en vrac, je vois clair
41;Mes amis me disent de faire le ménage de temps en temps
43;Mais j'aime voir ma vie comme un art dément
45;[ solo ]
53;Alors je continuerai d'être désordonné
55;Un artiste fou, jamais apprivoisé
57;Car dans ce chaos, je trouve ma liberté
59;Et c'est dans le bazar que je suis vraiment comblé!
61;[outro]
63;
