Le bordel parfait;
1;[intro]
9;My closet's a total mess,
11;With socks and leftovers, no less,
13;But I always find my clothes,
15;In this chaos that makes people pose.
17;I'm messy, that’s no secret,
19;In my world, order’s not perfect,
21;I mix it all, I’m quite the nut,
23;Disorder is my daily rut.
25;[ … ]
29;In my kitchen, pots pile high,
31;But I whip up recipes that never lie,
33;Mixed flavors burst with delight,
35;And my friends love it, what a sight.
37;I’m a perfectionist, wanting it right,
39;But I’m messy, it’s my way of life,
41;I muddle things up, it makes me laugh,
43;An artist of chaos, that’s my craft.
45;[ solo ]
53;So if you’re messy and a bit of a perfectionist too,
55;Come dance with me, in this optimistic view,
57;For disorder and order can coexist,
59;In a world where madness reigns, come and enlist!
61;[outro]
63;
