Le cinéphile;
1;[intro]
9;In this world of cinema, I feel at home,
11;Crazy about films, they set my heart to roam,
13;From blockbusters to comedies, I adore them all,
15;Nothing beats a good movie to lift my mood and enthrall.
17;I’m a film buff, and it puts me in a trance,
19;When the lights go down, my heart starts to dance,
21;Popcorn in hand, I settle in my chair,
23;At the movies, I escape and feel the fire flare.
25;[ … ]
29;From Hitchcock to Tarantino, I know every name,
31;From tasty dialogues to scenes that bring the pain,
33;I laugh, I cry, I dive into each tale,
35;In the realm of the seventh art, I’m always on the trail.
37;I’m a film buff, and it puts me in a trance,
39;When the lights go down, my heart starts to dance,
41;Popcorn in hand, I settle in my chair,
43;At the movies, I escape and feel the fire flare.
45;[ solo ]
53;I’m a film buff, and it puts me in a trance,
55;When the lights go down, my heart starts to dance,
57;Popcorn in hand, I settle in my chair,
59;At the movies, I escape and feel the fire flare.
61;[outro]
63;
