Cinémania;
1;[intro]
9;When I step into a darkened room,
11;I feel the thrill, it’s my escape from gloom,
13;The projectors light up my heart,
15;I’m ready for a brand-new start.
17;In my life, it’s like a film reel,
19;I’m hooked, I’m a true film zeal,
21;From emotions to laughter 'til dawn’s first light,
23;It’s my passion, the seventh art feels just right.
25;[ … ]
29;From superheroes to eternal love,
31;Scenarios that make me rise above,
33;I feel like a star in Hollywood’s gleam,
35;Cinema is my ultimate dream.
37;I drift away in this magic land,
39;With characters and stories so grand,
41;From comedies to epic dramas’ might,
43;Cinema fills me with pure delight.
45;[ solo ]
53;In my life, it’s like a film reel,
55;I’m hooked, I’m a true film zeal,
57;From emotions to laughter 'til dawn’s first light,
59;It’s my passion, the seventh art feels just right.
61;[outro]
63;
