Trop facile;
1;[intro]
9;Je me lève le matin, un sourire aux lèvres
11;Je suis né pour briller, c'est dans mes gènes
13;Je marche dans la rue, tout le monde me salue
15;Car je suis le roi, l'idole d'une foule
17;C'est trop facile, ça me rend fou
19;Tout me réussit, c'est un peu trop
21;Je suis tellement génial, même les mots
23;Ne peuvent décrire à quel point je suis tout
25;[ … ]
29;Je fais rire les gens, je suis un vrai clown
31;Mes blagues sont si bonnes, je suis le maître du son
33;Je chante mes chansons, tout le monde les adore
35;Car je suis un artiste, un vrai trésor
37;Trop facile, je suis le meilleur
39;Je gagne toujours, c'est mon bonheur
41;Je suis un génie, un vrai prodige
43;Dans ce monde, je suis une légende
45;[ solo ]
53;C'est trop facile, ça me rend fou
55;Tout me réussit, c'est un peu trop
57;Je suis tellement génial, même les mots
59;Ne peuvent décrire à quel point je suis tout
61;[outro]
63;
