La paresse, c'est mon credo;
1;intro]
9;The alarm rings, I hide beneath the sheet,
11;I prefer to stay in my little world, neat.
13;Responsibilities? They’re not for me,
15;I love to lounge and take life leisurely.
17;I’m a bit of a slacker, that’s true,
19;Laziness is my go-to.
21;On my couch, I drift away,
23;Letting time slip by day by day.
25;[ … ]
29;Projects pile up, I close my eyes,
31;Chores call out, but I nap instead, no surprise.
33;Procrastination, my dearest friend,
35;I’d rather laugh and let my worries mend.
37;I’m a bit of a slacker, that’s true,
39;Laziness is my go-to.
41;On my couch, I drift away,
43;Letting time slip by day by day.
45;[ solo ]
53;I’m a bit of a slacker, that’s true,
55;Laziness is my go-to.
57;On my couch, I drift away,
59;Letting time slip by day by day.
61;[outro]
63;
