Imposteur musical;
1;[intro]
9;J'ai jamais rien appris, mais ça m'fait du bien 
11;La musique, pour moi, c'est un grand refrain
13;Je suis pas Pavarotti ni Céline Dion
15;Mais quand je chante, tout le monde est en fusion
17;Dans mes mélodies, j'ai un charme insensé
19;Je chante faux, mais ça plaît à mes fans enchantés
21;Je suis l'imposteur musical, le roi des discordes
23;Écoutez-moi, je suis le roi de l'accordéon désaccordé
25;[ … ]
29;"Mon professeur de chant m'a dit ""mon p'tit gars,"
31;"Tu chantes comme une casserole, c'est pas du tout ras"""
33;Mais moi, j'm'en fous, j'ai ma propre folie
35;Personne ne comprend pourquoi je suis applaudi
37;Dans mes mélodies, j'ai un charme insensé
39;Je chante faux, mais ça plaît à mes fans enchantés
41;Je suis l'imposteur musical, le roi des discordes
43;Écoutez-moi, je suis le roi de l'accordéon désaccordé
45;[ solo ]
53;Alors, chantez avec moi, ou plutôt, chantez contre moi
55;On s'en moque du juste, l'important c'est qu'on se déploie
57;La musique est une fête, un joyeux bordel sans fin
59;Et moi, je suis l'artiste qui chante faux, mais qui fait du bien
61;[outro]
63;
