Une chanson sans raison;
1;[intro]
9;I came here just to sing,
11;No pretensions in the ring,
13;I just want to have some fun,
15;To this crazy melody, we'll run.
17;A song without a reason,
19;Just to make us smile,
21;We don’t need any arguments,
23;To dance and stay awhile.
25;[ … ]
29;Let’s set our worries aside,
31;Forget all the troubles we hide,
33;The world’s not always kind,
35;But music clears our mind.
37;A song without a reason,
39;Just to make us smile,
41;We don’t need any arguments,
43;To dance and stay awhile.
45;[ solo ]
53;A song without a reason,
55;Just to make us smile,
57;We don’t need any arguments,
59;To dance and stay awhile.
61;[outro]
63;
