Le maître du rire;
1;[intro]
9;Tired of the daily grind, everything’s so gray,
11;Need a splash of whimsy, a touch of play.
13;I’m diving in, no turning back,
15;Towards a future that's full of slack.
17;I crave a change, a fresh new view,
19;To explore new paradises, bright and true.
21;A new chapter, that’s what I need,
23;Throwing my worries to the sea!
25;[ … ]
29;I want to see the world in technicolor,
31;Laugh for no reason, lose all sense of order.
33;Goodbye worries, hello freedom’s embrace,
35;Escaping the monotony at a brisk pace.
37;I’ll dance through my troubles,
39;Party on, forgetting the struggles.
41;A new start, that’s what I want,
43;Living life completely, with no taunt.
45;[ solo ]
53;I’ll be the Master of laughter,
55;On stage, shining bright, breaking free after.
57;With my voice, I'll make it sing,
59;The whole world, in joy, I'll bring.
61;[outro]
63;
