Une histoire drôle;
1;[intro]
9;One morning, I woke up bright,
11;With mismatched socks, what a sight!
13;I thought, what a crazy plan,
15;To wander the world without a map in hand.
17;I've got news to share with you,
19;A funny story, fresh and new.
21;Buckle up, it's going to be wild,
23;Get ready to laugh till we’re all beguiled!
25;[ … ]
29;I took a flight, off I went,
31;But forgot my pants, oh what a bent!
33;Found myself all dressed in the nude,
35;Singing to a crowd, quite amused.
37;I’ve got news to share with you,
39;A funny story, fresh and new.
41;Buckle up, it's going to be wild,
43;Get ready to laugh till we’re all beguiled!
45;[ solo ]
53;I’ve got news to share with you,
55;A funny story, fresh and new.
57;Buckle up, it's going to be wild,
59;Get ready to laugh till we’re all beguiled!
61;[outro]
63;
