1;[intro]
9;We dress up, put on our best clothes,
11;Because tonight, it's the VIP party,
13;But as soon as we arrive, we step on a duck,
15;Because the dress code was casual, haha!
17;It's a matter of context, oh la la!
19;The key is where you settle, that's it!
21;In a living room, we act classy,
23;But in the kitchen, everyone is kissing!
25;[ … ]
29;We get ready for a night out at the club,
31;But there, everyone is dancing in boots,
33;We don't know where to look,
35;We should have stayed at the party!
37;It's a matter of context, oh la la!
39;The key is where you settle, that's it!
41;In an office, we take ourselves seriously,
43;But in a park, we do somersaults together!
45;[ solo ]
53;It's true, it's funny how everything changes with the context,
55;So think carefully before making choices about it!
57;That's life, we learn to move with the settings,
59;That's it, my friend, the magic of context, again and again!
61;[outro]
63;
