Une nouvelle qui décoiffe;
1;[intro]
9;I’m a quirky girl, always laughing,
11;In my life, it’s the twists and turns
13;That fuel my writing, always crafting.
15;I want a story, bold and daring,
17;One that makes the crowds go wild,
19;Igniting smiles and keeping spirits high.
21;[ … ]
23;People think I’m a bit crazy,
25;But I don’t mind at all, really.
29;I’m a dash of madness in this pot,
31;Determined to make my mark, a lot.
33;Give me a story, one that thrills,
35;One that makes my wings unfurl,
37;Creating waves and applause galore.
39;[ solo ]
41;I want a story, bold and daring,
43;One that makes the crowds go wild,
45;Igniting smiles and keeping spirits high.
53;[outro]
55;I want a story, bold and daring,
57;One that makes my wings unfurl,
59;Creating waves and applause galore.
61;[outro]
63;
