Une règle à suivre;
1;[intro]
9;Dans ma vie, y'a qu'une règle à suivre
11;La liberté, c'est ce qui me fait revivre
13;Je fais ce que je veux, sans me soucier
15;Des gens qui veulent me contrôler
17;C'est ma liberté, ma seule réalité
19;Je danse, je ris, je vis à ma volonté
21;Personne ne peut me dicter ma destinée
23;C'est une question de liberté
25;[ … ]
29;J'ignore les jaloux qui me critiquent
31;Je m'éclate, je les laisse dans leurs tics
33;La vie est trop courte pour se préoccuper
35;Des regards envieux qui veulent m'enchaîner
37;C'est ma liberté, ma seule réalité
39;Je danse, je ris, je vis à ma volonté
41;Personne ne peut me dicter ma destinée
43;C'est une question de liberté
45;[ solo ]
53;C'est ma liberté, ma seule réalité
55;Je danse, je ris, je vis à ma volonté
57;Personne ne peut me dicter ma destinée
59;C'est une question de liberté
61;[outro]
63;
