Mon credo;
1;[intro]
9;Dans un monde sans limites, je m'épanouis
11;Avec un sourire sur mes lèvres, je me sens si libre
13;Je dis adieu aux soucis, je danse à ma guise
15;C'est une question de liberté, j'en suis éprise
17;Liberté, liberté, c'est mon credo
19;Je vole haut dans les cieux, je suis libre comme l'oiseau
21;Rien ne peut me retenir, je suis débordant d'éclat
23;C'est ma façon de vivre, vivre à fond, voilà
25;[ … ]
29;J'suis pas un conformiste, j'aime les couleurs flashy
31;Le quotidien m'ennuie, je veux du fun et de l'éclat
33;Je mets des paillettes partout, même dans mes idées
35;C'est une question de liberté, je veux m'épanouir à jamais
37;Liberté, liberté, c'est mon credo
39;Je vole haut dans les cieux, je suis libre comme l'oiseau
41;Rien ne peut me retenir, je suis débordant d'éclat
43;C'est ma façon de vivre, vivre à fond, voilà
45;[ solo ]
53;Liberté, liberté, c'est mon credo
55;Je vole haut dans les cieux, je suis libre comme l'oiseau
57;Rien ne peut me retenir, je suis débordant d'éclat
59;C'est ma façon de vivre, vivre à fond, voilà
61;[outro]
63;
