Question d'intention;
1;[intro]
9;When you get up in the morning, say hello to the sun
11;And even if it rains, act as if it's summer
13;In your mismatched socks, you're the coolest
15;Nothing stops you, you're a real fool
17;It's a matter of intention, my friend
19;Everything is in the way you smile
21;Life is too short to be serious
23;So do your best, yeah yeah yeah
25;[ … ]
29;When you sing in the shower, put on a show
31;It doesn't matter if you're not the best soprano
33;Your imaginary audience goes wild, clapping loudly
35;You're the star of the moment, the mic is your treasure
37;It's a matter of intention, my dear
39;Don't overthink it, let go of your worries
41;Dance like nobody's watching
43;And make your life a party, yeah yeah yeah
45;[ solo ]
53;It's a matter of intention, my friend
55;Everything is in the way you smile
57;Life is too short to be serious
59;So do your best, yeah yeah yeah
61;[outro]
63;
