Sourire sincère;
1;[intro]
9;In the morning I get up, the sun shines outside
11;I open my window, everything is so beautiful again
13;I go out into the street with a light heart
15;I want to spread happiness wherever I go
17;It's a matter of intention, oh oh
19;In every gesture, a good intention, oh oh
21;A sincere smile to brighten the days, oh oh
23;Because deep down, that's what love is, oh oh
25;[ … ]
29;I meet my neighbor, he looks so sad
31;I extend my hand, give him a helping hand
33;A bit of compassion, a bit of kindness
35;That's all it takes to bring peace to the world
37;It's a matter of intention, oh oh
39;In every gesture, a good intention, oh oh
41;A sincere smile to brighten the days, oh oh
43;Because deep down, that's what love is, oh oh
45;[ solo ]
53;It's a matter of intention, oh oh
55;In every gesture, a good intention, oh oh
57;A sincere smile to brighten the days, oh oh
59;Because deep down, that's what love is, oh oh
61;[outro]
63;
