Un monde fou;
1;[intro]
9;This world is crazy, full of crazies,
11;Everyone gets offended, it's no longer soft,
13;A misplaced word, a joke in the air,
15;And people start shouting.
17;Offended, not offended, we don't know what to think anymore,
19;Everyone finds a reason to get upset,
21;But I say, let's stop getting angry,
23;Let's live life without getting worked up.
25;[ … ]
29;We walk on eggshells, we pay attention,
31;To every word, to every expression,
33;But I propose another solution,
35;Laugh at everything, without reservation.
37;Offended, not offended, we don't know what to think anymore,
39;Everyone finds a reason to get upset,
41;But I say, let's stop getting angry,
43;Let's live life without getting worked up.
45;[ solo ]
53;Because after all, we're all different,
55;With sensitivities on edge, it's crazy,
57;But life is too short to bicker,
59;Let's be free to laugh, to have fun.
61;[outro]
63;
