Passion cuisine;
1;[intro]
9;Laisse-moi te présenter cette chanson,
11;Un hymne à cuisiner sans modération,
13;Dans la cuisine, on se libère, on s'amuse,
15;On se régale, et c'est la vie qu'on refuse.
17;Cuisiner ça fait du bien à la tête,
19;Dans la poêle, la joie se fait naître,
21;On mélange les ingrédients pour s'amuser,
23;La recette du bonheur, on va la partager.
25;[ … ]
29;Dans ma cuisine, je suis le roi du cassoulet,
31;Je fais sauter les légumes, c'est mon secret,
33;Le poivre, le sel, c'est ma danse endiablée,
35;Et quand mes amis goûtent, ils sont émerveillés.
37;Cuisiner ça fait du bien à la tête,
39;On pétille sous la hotte, on se prête,
41;Aux éclats de rire, aux odeurs qui se mélangent,
43;Dans ma poêle magique, les sourires se dégagent.
45;[ solo ]
53;Cuisiner ça fait du bien à la tête,
55;On pétille sous la hotte, on se prête,
57;Aux éclats de rire, aux odeurs qui se mélangent,
59;Dans ma poêle magique, les sourires se dégagent.
61;[outro]
63;
