Cuisine-moi le bonheur;
1;[intro]
9;Les casseroles et les poêles s'animent
11;Je suis le chef, personne ne me résiste
13;Je coupe, je découpe, je maîtrise
15;Dans ma cuisine, l'imagination s'anime
17;Dans ma cuisine, tout me sourit
19;Cuisiner, ça fait du bien à la tête
21;Avec une pincée d'amour et d'envie
23;Je mélange, je crée, c'est la recette
25;[ … ]
29;Je jongle avec les épices et les saveurs
31;Je fais danser les légumes en fête
33;Avec mes ustensiles, je suis une star
35;La cuisine, c'est mon terrain de conquête
37;Dans ma cuisine, tout me sourit
39;Cuisiner, ça fait du bien à la tête
41;Avec une pincée d'amour et d'envie
43;Je mélange, je crée, c'est la recette
45;[ solo ]
53;Alors rejoignez-moi dans ma cuisine enchantée
55;Où les plats mijotent avec malice
57;On y trouve des poèmes culinaires à déguster
59;Car cuisiner, c'est ma délicieuse complice !
61;[outro]
63;
