Invincible;
1;[intro]
9;One day, I was on the football field
11;I wasn't very good, I admit
13;But I had this growing strength inside me
15;Even if technically I'm not the best
17;In sports, you don't just need to be strong
19;It's the mental game that makes the difference, it's crazy!
21;When you fight on the field like a hero
23;It's the mental game that makes you invincible, takes you higher
25;[ … ]
29;I tried tennis, I wasn't very good
31;But mentally, I was a champion
33;I threw the racket, I smiled
35;Because in my head, I always have the victory
37;In sports, the mental game is the secret weapon
39;It's the fire that burns all defeat
41;When you believe in it, nothing can stop you
43;The mental game makes you win, makes you exist
45;[ solo ]
53;In sports, you don't just need to be strong
55;It's the mental game that makes the difference, it's crazy!
57;When you fight on the field like a hero
59;It's the mental game that makes you invincible, takes you higher
61;[outro]
63;
