C'est toi le champion;
1;[intro]
9;In life, you need to do sports
11;To always keep your spirits high
13;But you know, it's not just about strength
15;It's the mental game that makes the difference, it's full of powerful effects
17;The mental game, it's the secret ingredient
19;To reach all your peaks
21;In sports, it's not just the muscles that are interesting
23;It's in the head where you win the most points, really
25;[ … ]
29;When you're on the field, put on your sneakers
31;Take a run-up and show your skill
33;But most importantly, don't let yourself be down
35;It's in your brain that success lies, it thinks and forgets all defeats
37;The mental game, it's the secret ingredient
39;To reach all your peaks
41;In sports, it's not just the muscles that are interesting
43;It's in the head where you win the most points, really
45;[ solo ]
53;Come on, don't give up, you're the champion
55;In your mind, believe in your emotions
57;No matter if you win or lose
59;The important thing is to always keep smiling, you can be proud
61;[outro]
63;
