Les blocs-notes;
1;[intro]
9;Je prends ma plume, j'ouvre mon cœur,
11;Sur le bloc-notes, j'écris en douceur,
13;Mes pensées folles, mes mots légers,
15;Je suis l'encre qui va te charmer.
17;Écrire sur des blocs-notes, c'est ma passion,
19;Une symphonie de rimes et d'émotions,
21;Avec mes mots je fais des pirouettes,
23;Je suis le clown des mots, la reine des pirouettes.
25;[ … ]
29;Je dessine des vers, des jeux de mots,
31;Sur mon papier blanc, tout est bientôt beau,
33;Les idées fusent, c'est un tourbillon,
35;Je déroule mon encre avec déraison.
37;Écrire sur des blocs-notes, c'est mon bonheur,
39;Un jeu de mots qui défie les heures,
41;Avec ma plume, j'écris des cascades,
43;Je suis le prince des mots, le roi des acrobaties.
45;[ solo ]
53;Sur les blocs-notes, mes mots dansent,
55;Ils éclaboussent la feuille, deviennent une danse,
57;Alors viens, rejoins mon écriture légère,
59;Et ensemble, dansons sur cette mélodie sincère.
61;[outro]
63;
