La magie des blocs-notes;
1;[intro]
9;J'ai plein de blocs-notes, des petits, des grands
11;Ils sont colorés, et ça c'est encourageant
13;Je les emporte partout, dans mon sac à dos
15;Pour écrire mes idées, c'est incroyable, c'est beau
17;Mais parfois je m'en sors pas, j'ai l'inspiration qui coince
19;Je cherche mes mots, je griffonne des croquis
21;Mais quand je les ai trouvés, oh là là, quel bonheur immense
23;La magie des blocs-notes, ça me rend si ravi
25;[ … ]
29;Il y a des blocs-notes avec des spirales
31;Je les tourne en rond, je me sens royale
33;Les pages lignées, ça me fascine, ça m'inspire
35;J'écris mes histoires, mes rêves, mes délires
37;Mais parfois je m'en sors pas, j'ai l'inspiration qui coince
39;Je cherche mes mots, je griffonne des croquis
41;Mais quand je les ai trouvés, oh là là, quel bonheur immense
43;La magie des blocs-notes, ça me rend si ravi
45;[ solo ]
53;Alors si tu veux des idées, si tu veux créer
55;Prends un bloc-notes et laisse-toi emporter
57;Laisse parler ton cœur, laisse parler ton esprit
59;La magie des blocs-notes, c'est la clé de l'écrit.
61;[outro]
63;
