Le tambour en plastique;
1;[intro]
9;Petit, j'avais des rêves de devenir une rock star
11;Mais avec un tambour en plastique, c'était bizarre
13;Je jouais des rythmes endiablés, pas de quoi en faire un drame
15;Les gens me regardaient, c'était la fête dans la ludothèque
17;J'ai loué un tambour en plastique à la ludothèque
19;Et j'ai tapé si fort, ça résonnait dans ma tête
21;Oh, je suis devenu le roi du drumming en plastique
23;Faisant danser tout le monde, c'était fantastique
25;[ … ]
29;Les enfants me suivaient, tapant des mains et des pieds
31;On formait un orchestre, c'était le nirvana des jouets
33;Avec mon tambour en plastique, j'étais la star d'un jour
35;Pas besoin de potes, c'était ma musique d'amour
37;J'ai loué un tambour en plastique à la ludothèque
39;Et j'ai tapé si fort, ça résonnait dans ma tête
41;Oh, je suis devenu le roi du drumming en plastique
43;Faisant danser tout le monde, c'était fantastique
45;[ solo ]
53;J'ai loué un tambour en plastique à la ludothèque
55;Et j'ai tapé si fort, ça résonnait dans ma tête
57;Oh, je suis devenu le roi du drumming en plastique
59;Faisant danser tout le monde, c'était fantastique
61;[outro]
63;
