Le roi du tambour;
1;[intro]
9;Les autres enfants me regardaient,
11;Avec mon tambour, je dansais.
13;Je faisais du bruit, j'étais si fier,
15;Le monde entier, je voulais éblouir.
17;J'ai loué un tambour en plastique,
19;À la ludothèque, c'était magique.
21;Je tapais dessus, j'étais le roi,
23;Un vrai musicien, plein de joie.
25;[ … ]
29;Les parents souriaient, les yeux brillants,
31;Devant mon enthousiasme débordant.
33;J'étais leur rayon de soleil, leur petit clown,
35;Avec mon tambour, je faisais tourner les saisons.
37;Mon tambour en plastique, si vibrant,
39;Il faisait tourner les têtes en chantant.
41;Je battais la mesure, le cœur léger,
43;Un instant de bonheur, si doux à partager.
45;[ solo ]
53;J'ai loué un tambour en plastique,
55;À la ludothèque, c'était magique.
57;Je tapais dessus, j'étais le roi,
59;Un vrai musicien, plein de joie.
61;[outro]
63;
