La collection folle;
1;[intro]
9;J'ai des chapeaux à paillettes
11;Des babioles toutes petites
13;Des peluches par milliers
15;Tout pour me divertir, m'amuser
17;Ma collection, une obsession
19;J'accumule sans aucune raison
21;Des objets pour tous les goûts
23;C'est ma folie, mon seul atout
25;[ … ]
29;J'ai des clés, des toupies
31;Des verres en forme de hippie
33;Des jouets qui font des pirouettes
35;Tout ce qui rend la vie plus chouette
37;Ma collection, c'est ma passion
39;Un joyeux désordre, une explosion
41;Des objets insolites et rigolos
43;Mon univers, un beau chaos
45;[ solo ]
53;Ma collection, une obsession
55;J'accumule sans aucune raison
57;Des objets pour tous les goûts
59;C'est ma folie, mon seul atout
61;[outro]
63;
