La collectionneuse;
1;[intro]
9;I have dolls, stuffed toys, and hats,
11;Old vinyl records, posters, and coats.
13;In my drawers, seashells and rare stamps,
15;And vintage toys that make me laugh.
17;I’m a collector, oh yes, it's true,
19;I gather things, it makes me happy.
21;At home, it’s a real museum, just for me,
23;Come see my collection, it's wonderful!
25;[ … ]
29;In my attic, boxes filled with trinkets,
31;Bits of string, old keys, even an old pot.
33;And in my room, a Johnny Hallyday poster,
35;I’m amazing, my objects tell me so.
37;I’m a collector, it's my passion,
39;I keep it all, even Grandma Jeanne’s peanuts.
41;I have shelves full of memories,
43;My life is a treasure, I love to cherish.
45;[solo]
53;I’m a collector, oh yes, it's true,
55;I gather things, it makes me happy.
57;At home, it’s a real museum, just for me,
59;Come see my collection, it's wonderful!
61;[outro]
63;
