Vive le désordre!;
1;[intro]
9;In my room, it's a mess so grand,
11;Clothes are flying all over, it’s unplanned.
13;Socks on the chandelier, keys in the fridge,
15;My daily chaos, it’s my own bridge.
17;Oh la la, disorder is my domain,
19;I do everything backward, I’m quite the strange.
21;Rules aren’t my thing, I’m a free man,
23;Long live the madness, that’s my big plan!
25;[ … ]
29;At the office, it's even worse,
31;Papers pile up, it’s a big curse.
33;My colleagues don’t get my genius flair,
35;I’m the king of chaos, and I’m proud, I swear!
37;Let me live my life without any bind,
39;Disorder’s my DNA, leave complaints behind.
41;I’m the guru of general mess,
43;And it’s what makes my life the best!
45;[solo]
53;Come on, everyone, join the revolution,
55;Disorder is the only solution.
57;Let loose, forget all conventions,
59;And together, let’s live without pretensions!
61;[outro]
63;
