Fous le bordel!;
1;[intro]
9;Les chaussettes mélangées, les assiettes ébréchées,
11;On s'en moque, ça nous fait rire aux éclats,
13;Les papiers froissés, les meubles déplacés,
15;C'est ça la vie, un joyeux et fou bazar!
17;Fous le bordel dans ta maison,
19;Oublie les règles et les leçons,
21;Laisse-toi aller, fais ce qu'il te plaît,
23;La folie c'est la clé du succès parfait!
25;[ … ]
29;Les cheveux en pagaille, le maquillage dégoulinant,
31;On s'en fiche, on est libres et délirants,
33;Les pantalons troués, les chaussures délacées,
35;C'est notre style, tout en désordre assumé!
37;Fous le bordel partout où tu vas,
39;Brise les conventions, ne t'en fais pas,
41;Danse sur les tables, chante à tue-tête,
43;Laisse le chaos régner, c'est une fête!
45;[ solo ]
53;Fous le bordel dans ta maison,
55;Oublie les règles et les leçons,
57;Laisse-toi aller, fais ce qu'il te plaît,
59;La folie c'est la clé du succès parfait!
61;[outro]
63;
