Sans prise de tête;
1;[intro]
9;My name is Loulou, a bit of a fool,
11;Always ready to liven up every place.
13;Big theories, they leave me cold,
15;I’d rather dance, laugh, and let loose in bars.
17;No need to find deeper meaning,
19;It’s just for fun, and that's the feeling.
21;Let’s all vibe together, in the madness of the hours,
23;I’m here to make you laugh, no stress or powers.
25;[ … ]
29;I’ve got a song for you, my friends,
31;To make you forget all your worries and trends.
33;In my world, everything’s pink and bright,
35;We leave our troubles behind, out of sight.
37;No need to find deeper meaning,
39;It’s just for fun, and that's the feeling.
41;Let’s all vibe together, in the madness of the hours,
43;I’m here to make you laugh, no stress or powers.
45;[solo]
53;No need to find deeper meaning,
55;It’s just for fun, and that's the feeling.
57;Let’s all vibe together, in the madness of the hours,
59;I’m here to make you laugh, no stress or powers.
61;[outro]
63;
