Pop addiction;
1;[intro]
9;When I’m on stage, I burst with energy,
11;I’m the king of the party, the king of the spree.
13;My dance moves are legendary, I light up the floor,
15;I’m the maestro of pop, the artist in score.
17;I want to do pop, pop wherever I go,
19;Sing, dance, make this world forever glow.
21;I want success, fame, and fans who cheer,
23;I want to make a splash, start my career here.
25;[ … ]
29;On social media, I’m the number one star,
31;My selfies make waves, my life’s a radar.
33;I’m the champion of hashtags, the king of the “like,”
35;I’m the dream maker, the critics’ delight.
37;I want to do pop, pop wherever I go,
39;Sing, dance, make this world forever glow.
41;I want success, fame, and fans who cheer,
43;I want to make a splash, start my career here.
45;[solo]
53;I want to do pop, pop wherever I go,
55;Sing, dance, make this world forever glow.
57;I want success, fame, and fans who cheer,
59;I want to make a splash, start my career here.
61;[outro]
63;
