Superstar;
1;[intro]
9;Aujourd'hui, j'ai une idée en tête
11;Je veux créer de la musique, tu connais la recette
13;Un beat entraînant, des paroles rigolotes
15;Je veux faire danser tout le monde sur mes notes
17;Je veux être la star du moment
19;Avec ma chanson qui fait vibrer le temps
21;Tout le monde va swinguer sous la lumière
23;On va s'éclater, c'est ma seule prière
25;[ … ]
29;J'ai mon micro, mes lunettes de soleil
31;Je suis prêt à tout pour faire le show, c'est mon appareil
33;Je vais taper du pied, je vais chanter à tue-tête
35;Je peux te garantir, tu n'auras jamais vu ça, ma fête
37;Quand je monte sur scène, je suis invincible
39;Je me transforme en icône, c'est incroyable
41;Les gens rient, dansent et chantent avec moi
43;Je suis leur superstar, leur numéro un, leur roi
45;[ solo ]
53;Je veux être la star du moment
55;Avec ma chanson qui fait vibrer le temps
57;Tout le monde va swinguer sous la lumière
59;On va s'éclater, c'est ma seule prière
61;[outro]
63;
