Délicieuse fumée;
1;[intro]
9;I smoked my last pack in thirty minutes flat,
11;"I said, ""That’s enough, I need to quit just like that!"""
13;My lungs are on strike, they're protesting the strain,
15;But I don’t care, I crave that nicotine again.
17;I smoked my last pack in thirty minutes flat,
19;I live life to the fullest, pushing limits like that.
21;The smoke surrounds me, I float in the haze,
23;I’m the nicotine prince, ruling the craze.
25;[ … ]
29;I light up another cigarette without delay,
31;I’m hooked, I can admit, I’m addicted this way.
33;In my closet, packs stacked high with no end,
35;I’m immune to the anti-smoking campaign trend.
37;My health takes a hit, that’s a fact for sure,
39;But I’d rather burn the candle at both ends, pure.
41;When I smoke, I feel vibrant and alive,
43;Nothing will stop this fire that makes me thrive.
45;[solo]
53;I smoked my last pack in thirty minutes flat,
55;I live life to the fullest, pushing limits like that.
57;The smoke surrounds me, I float in the haze,
59;I’m the nicotine prince, ruling the craze.
61;[outro]
63;
