La fête des bouffées;
1;[intro]
9;I promised myself I’d quit, but what irony,
11;In just half an hour, it all went up in smoke, you see.
13;I counted the cigarettes, hoping it would end,
15;But I cracked, smoked them all, such a silly trend.
17;I smoked my last pack in thirty minutes flat,
19;It was so funny, I lost my balance, imagine that.
21;The rising smoke, I thought I saw unicorns,
23;The puff party, yeah, I was stiff as a throne.
25;[ … ]
29;My friends looked on, stunned and confused,
31;They said, “You’ve lost it, you’re really bemused.”
33;I replied with a grin, my smile a bit tight,
35;“It’s just a flash party, I had to take flight.”
37;I smoked my last pack in thirty minutes flat,
39;It was so funny, I lost my balance, imagine that.
41;The rising smoke, I thought I saw unicorns,
43;The puff party, yeah, I was stiff as a throne.
45;[solo]
53;And now I promise, leaping through the air,
55;Never to smoke so much in one go, I swear.
57;My last pack was my final spree,
59;The puff party was my last dance, you see.
61;[outro]
63;
