Fan de Joe;
1;[intro]
9;Quand j'écoute ses mélodies,
11;Je me sens comme dans un film de série,
13;Il a ce charme à la française,
15;Joe Dassin, il est la reine des fesses.
17;Hey, j'aime bien Joe Dassin,
19;Son style, sa voix qui glisse,
21;Ses chansons, ça me met en transe,
23;Hey, j'aime bien Joe Dassin.
25;[ … ]
29;"Dans ""L'été indien"" il me fait rêver,"
31;Je m'imagine sur la plage à danser,
33;"Et ""Et si tu n'existais pas"" me fait fondre,"
35;Joe Dassin, il est mon cœur qui bond.
37;Hey, j'aime bien Joe Dassin,
39;Son style, sa voix qui glisse,
41;Ses chansons, ça me met en transe,
43;Hey, j'aime bien Joe Dassin.
45;[ solo ]
53;Joe, si tu m'entends,
55;Viens faire un duo enflammant,
57;On va faire danser toutes les foules,
59;Avec notre pop qui dégouline de fou-rire et de froufrous.
61;[outro]
63;
