Ma providence;
1;[intro]
9;Joe Dassin, an artist so unique,
11;His light melodies make the Earth dance with chic.
13;Catchy refrains that make you want to move,
15;Joe Dassin, the pop king, with a groove.
17;I adore Joe Dassin, yes, it’s my passion,
19;His songs are divine, they give me a thrill and action.
21;With his smooth voice, he charms me each season,
23;Oh Joe Dassin, you are my reason!
25;[ … ]
29;His lyrics full of wit and humor bright,
31;Joe Dassin, a storyteller who delights his audience right.
33;In his songs, he tells love stories so sweet,
35;That make us smile, laugh, and sometimes feel upbeat.
37;I adore Joe Dassin, yes, it’s my passion,
39;His songs are divine, they give me a thrill and action.
41;With his smooth voice, he charms me each season,
43;Oh Joe Dassin, you are my reason!
45;[solo]
53;Joe Dassin, thank you for your catchy tunes,
55;Through your music, you bring smiles to our afternoons.
57;You are and will always be my enchanting idol,
59;Joe Dassin, the artist who makes France feel so vital!
61;[outro]
63;
