Ambiguïté, c'est mon crédo;
1;[intro]
9;My name is Momo, the king of ambiguity,
11;I stroll through life with no clear reality.
13;I take everything lightly, I’m a true nut,
15;With me, people are lost, but that’s the fun part.
17;Ambiguity is my creed,
19;I’m the clown of the strange, making kids laugh with glee.
21;With my craziness, I create emotions,
23;Ambiguity, it’s my devotion.
25;[ … ]
29;In my closet, I don’t care about gender,
31;I dress up as an owl, or a ballerina’s splendor.
33;Whether male or female, it’s all the same,
35;I mix up styles, that’s what fuels my flame.
37;Ambiguity is my creed,
39;I’m the clown of the strange, making kids laugh with glee.
41;With my craziness, I create emotions,
43;Ambiguity, it’s my devotion.
45;[solo]
53;Ambiguity is my creed,
55;I’m the clown of the strange, making kids laugh with glee.
57;With my craziness, I create emotions,
59;Ambiguity, it’s my devotion.
61;[outro]
63;
