Les folles lasagnes;
1;[intro]
9;With zucchini, peppers, and mushrooms too,
11;In my dancing pan, I prepare this blend so true.
13;Delicate vegetables, sliced just right,
15;Vegetarian lasagna, ready for a delightful bite.
17;Oh, crazy lasagna, it’s my great passion,
19;I cook while dancing in my kitchen with action,
21;Colorful veggies, a symphony of taste,
23;Taste buds in celebration, bellies filled with grace.
25;[ … ]
29;With a light béchamel, all baked to a golden hue,
31;A true delight in your mouth, no meat but love so true,
33;Guests are amazed, they ask for more,
35;These vegetarian lasagnas, a feast to adore.
37;Oh, crazy lasagna, it’s my great passion,
39;I cook while dancing in my kitchen with action,
41;Colorful veggies, a symphony of taste,
43;Taste buds in celebration, bellies filled with grace.
45;[solo]
53;So let’s all sing together, celebrate the lasagna,
55;And dance without shame, to this catchy mantra,
57;Vegetarian lasagna, a hymn to joy,
59;In our plates and hearts, where indulgence is the ploy.
61;[outro]
63;
