Les lasagnes sont ma fierté;
1;[intro]
9;Dans ma cuisine, je m'éclate
11;À créer des plats sans viande qui m'enthousiasment
13;Et aujourd'hui, je te parle de ma passion
15;Celle des lasagnes végétariennes, sans hésitation
17;Oh, j'adore cuisiner, les lasagnes sont ma fierté
19;Un mélange de couleurs, de saveurs, ça fait une belle symphonie
21;Avec des légumes frais, je suis heureux(se) comme tout
23;Les lasagnes végétariennes, c'est mon dada, mon coup de pouce
25;[ … ]
29;Dans mon frigo, je mets tout ce qui me fait envie
31;Des courgettes, des champignons, des poivrons aussi
33;Je les coupe en fines lamelles, tout en chantant
35;Et les disposes soigneusement entre les couches de pâtes, passionnément
37;Oh, j'adore cuisiner, les lasagnes sont ma fierté
39;Un amour de recette, mes convives vont devenir accros
41;Avec une touche de parmesan, c'est l'apothéose
43;Les lasagnes végétariennes, un vrai délice en overdose
45;[ solo ]
53;Oh, j'adore cuisiner, les lasagnes sont ma fierté
55;Un mélange de couleurs, de saveurs, ça fait une belle symphonie
57;Avec des légumes frais, je suis heureux(se) comme tout
59;Les lasagnes végétariennes, c'est mon dada, mon coup de pouce
61;[outro]
63;
