Les lasagnes végétariennes;
1;[intro]
9;Dans ma cuisine, je mets mon tablier
11;Prêt à concocter, à tout expérimenter
13;Des aubergines grillées, des épinards fondants
15;Dans mes lasagnes, c'est un délice épatant
17;Oh, les lasagnes végétariennes, c'est ma passion
19;Quand j'en prépare, c'est une explosion
21;Avec des légumes frais et pleins de couleurs
23;Je vous invite tous à goûter mes saveurs
25;[ … ]
29;Des courgettes croquantes et des poivrons rôtis
31;C'est la touche gourmande de ma recette, j'insiste
33;Une béchamel légère, crémeuse à souhait
35;Mes lasagnes végétariennes, vous allez en raffoler
37;Oh, j'adore cuisiner, les lasagnes sont ma fierté
39;Un amour de recette, mes convives vont devenir accros
41;Avec une touche de parmesan, c'est l'apothéose
43;Les lasagnes végétariennes, un vrai délice en overdose
45;[ solo ]
53;Oh, les lasagnes végétariennes, c'est ma passion
55;Quand j'en prépare, c'est une explosion
57;Avec des légumes frais et pleins de couleurs
59;Je vous invite tous à goûter mes saveurs
61;[outro]
63;
