L'art à la folie;
1;[intro]
9;Dans les musées snobinards, je me sens mal à l'aise
11;Avec ma folie créatrice, je vais coiffer leurs vanités
13;Pas besoin d'un Picasso pour savoir apprécier
15;Le vrai génie se trouve dans la simplicité
17;J'aime l'art accessible, sans prise de tête
19;Un peu de couleur, un air qui nous guette
21;Les artistes talentueux, ceux qui nous font danser
23;L'art à la folie, c'est tout ce qu'il me faut penser
25;[ … ]
29;Je suis un franc délire, un clown sans égal
31;Mes toiles colorées ont un air carnavalesque
33;Je griffonne des vers, des mots plein d'humour
35;Pour tous ceux qui veulent s'échapper sans détour
37;J'aime l'art accessible, léger comme une plume
39;Quand ça parle à tous et que ça nous consume
41;Les rimes rigolotes, les chansons qui font marrer
43;L'art à la folie, c'est ce qui me fait vibrer
45;[ solo ]
53;Laissez l'art vous emporter, sans prise de tête ni confusion
55;Riez, dansez, ressentez cette passion
57;Car l'art accessible est un véritable trésor
59;Qui nous fait rire et vibrer encore et encore
61;[outro]
63;
