Art pour tous;
1;[intro]
9;In a museum or on a city wall,
11;Art speaks out, the celebration’s a ball.
13;From wild sculptures to colors so bright,
15;We get carried away, emotions take flight.
17;I love accessible art, it's a delight,
19;A splash of color that brings things to light.
21;Smiles and laughter, it’s truly a treat,
23;Art is for everyone, it’s wonderfully sweet.
25;[ … ]
29;A little clown on a playful canvas shown,
31;A painting that makes our heads spin and groan,
33;Art makes us dream, it sets us free,
35;With magical emotions that bring joy to see.
37;I love accessible art, what a cheer,
39;There are no rules, no censorship here.
41;Brushes that dance, canvases that speak,
43;Art brings us together, it’s the spark we seek.
45;[solo]
53;I love accessible art, it’s a delight,
55;A splash of color that brings things to light.
57;Smiles and laughter, it’s truly a treat,
59;Art is for everyone, it’s wonderfully sweet.
61;[outro]
63;
