Objetmania;
1;[intro]
9;In my kitchen, there are spoons
11;That sing melodies in their own tunes
13;My fridge dances like a madman
15;With carrots and cabbages in a jam
17;I love the objects, they drive me wild (wild)
19;In my home, everywhere, everywhere (where, where)
21;They’re colorful, shiny, and wild (wild)
23;The objects, oh yeah, they drive me wild!
25;[ … ]
29;In my room, everything’s a mess
31;Socks dance rock’n’roll in a crazy fest
33;The phone talks to the pillow with cheer
35;And the posters wink, oh dear
37;I love the objects, they drive me wild (wild)
39;In my living room, everywhere, everywhere (where, where)
41;They’re funny, quirky, and wild (wild)
43;The objects, oh yeah, they drive me wild!
45;[ solo ]
53;I love the objects, they drive me wild (wild)
55;In my life, everywhere, everywhere (where, where)
57;They’re awesome, fantastic, and wild (wild)
59;The objects, oh yeah, they drive me wild!
61;[outro]
63;
