J'aime les objets;
1;[intro]
9;Dans ma salle de bain, oh la la!
11;J'ai une brosse à dents, oh la la!
13;Je chante sous la douche tout en me brossant,
15;C'est mon moment préféré du matin!
17;J'aime les objets, oh la la!
19;Ils sont si beaux, oh la la!
21;Chaque chose, petit ou grand
23;Fait battre mon cœur, oh la la!
25;[ … ]
29;Dans ma cuisine, oh la la!
31;J'ai un toaster très stylé, oh la la!
33;Je fais griller du pain et je fais des toasts,
35;C'est toujours plus amusant avec mon robot!
37;J'aime les objets, oh la la!
39;Ils sont si beaux, oh la la!
41;Chaque chose, petit ou grand
43;Fait battre mon cœur, oh la la!
45;[ solo ]
53;J'aime les objets, oh la la!
55;Ils sont si beaux, oh la la!
57;Chaque chose, petit ou grand
59;Fait battre mon cœur, oh la la!
61;[outro]
63;
