Dans mes tiroirs;
1;[intro]
9;J'aime les objets, c'est mon obsession
11;Du petit au grand, de la tête aux pieds
13;Dans mon cœur, c'est une véritable passion
15;Je suis attaché à tout, même aux nounours usés
17;J'aime les objets et leurs histoires
19;Qu'ils soient grands ou petits, peu m'importe
21;Dans mes tiroirs, se cache tout un trésor
23;Les objets, c'est ma vie, mon essentiel, mon confort
25;[ … ]
29;Des babioles aux vieux coquillages
31;Chaque objet a sa place dans mon univers
33;Dans ma chambre, c'est un véritable village
35;Chaque jour, une nouvelle trouvaille à cajoler
37;J'aime les objets et leurs histoires
39;Qu'ils soient grands ou petits, peu m'importe
41;Dans mes tiroirs, se cache tout un trésor
43;Les objets, c'est ma vie, mon essentiel, mon confort
45;[ solo ]
53;Alors, rejoignez-moi dans ma folie des objets
55;Découvrez leur beauté et leur secret
57;Car pour moi, ils sont bien plus que des jouets
59;Les objets, c'est ma passion, mon bonheur parfait
61;[outro]
63;
