Chacun est unique;
1;[intro]
9;I love watching people, it’s my passion
11;Their little quirks, their imagination
13;On the street, at the café, wherever they are
15;I always find something to spark a star
17;I’m the witness to their tales
19;The curiosities of life make me prevail
21;That everyone is unique, special in their way
23;Let’s observe them all, that’s what I say
25;[ … ]
29;There’s the one who sings in the shower
31;Thinking they’re a star, a touch of power
33;And the one who talks alone in the street
35;With an invisible handbag, they’re on repeat
37;I’m the witness to their tales
39;The curiosities of life make me prevail
41;That everyone is unique, special in their way
43;Let’s observe them all, that’s what I say
45;[ solo ]
53;So come with me, open your eyes
55;Let’s observe together, under the skies
57;In this crazy world, let’s find the reason
59;To laugh and to sing, observing the season
61;[outro]
63;
