Arrêtez les repas de hipsters;
1;[intro]
9;J'aime pas les gens qui vont chez Casa
11;Ils sont toujours là, à se la péter
13;Avec leurs tasses en plastique, à la main
15;Ils se prennent pour les rois du festin
17;Mais moi, moi je préfère McDo
19;Les frites salées, le burger bien chaud
21;Pas besoin d'un repas de hipsters
23;Avec des ingrédients tous bio et chers
25;[ … ]
29;Ces snobs s'extasient devant chaque plat
31;Mais moi je préfère mon p'tit kebab
33;Avec ses oignons caramélisés
35;Et sa sauce qui fait pleurer les nez
37;Car moi, moi je préfère McDo
39;Les frites salées, le burger bien chaud
41;Pas besoin d'un repas de hipsters
43;Avec des ingrédients tous bio et chers
45;[ solo ]
53;Car moi, moi je préfère McDo
55;Les frites salées, le burger bien chaud
57;Pas besoin d'un repas de hipsters
59;Avec des ingrédients tous bio et chers
61;[outro]
63;
