L'trac;
1;[intro]
9;I’m here to introduce myself, the king of stage fright, my body shakes like a leaf
11;But when I hear those cheers, my fears fade away, I find my relief
13;The spotlights dazzle me, the crowd keeps the beat
15;This is my fuel, this energy makes me complete
17;I’ve always had stage fright, it’s never been a game
19;But I’m here to set the stage ablaze, nothing’s gonna stop my flame
21;I jump on stage, full of colors, making you all smile with glee
23;With my overflowing madness, I’ll take you to my endless spree
25;[ … ]
29;My trembling legs, my heart pounding fast
31;But my smile lights up my face, laughter bursts out at last
33;I crack jokes, I’m clowning around, here to make you sway
35;When you laugh out loud, my nerves start to fade away
37;I’ve always had stage fright, it’s never been a game
39;But I’m here to set the stage ablaze, nothing’s gonna stop my flame
41;I jump on stage, full of colors, making you all smile with glee
43;With my overflowing madness, I’ll take you to my endless spree
45;[solo]
53;I’ve always had stage fright, it’s never been a game
55;But I’m here to set the stage ablaze, nothing’s gonna stop my flame
57;I jump on stage, full of colors, making you all smile with glee
59;With my overflowing madness, I’ll take you to my endless spree
61;[outro]
63;
