J'ai le trac;
1;[intro]
9;Dans la vie, j'ai toujours eu le trac
11;Un peu maladroit, je tombe dans les pièges
13;Mais cette fois, je vais tout donner
15;Sur la scène, je vais me déchaîner
17;J'ai le trac, mais je m'en fous
19;Je veux chanter et faire mon show
21;Avec mes maladresses, je m'éclate
23;Je suis le roi de la zumba ratée
25;[ … ]
29;Je monte sur scène, le public m'attend
31;"Je souris, je me dis ""allez viens"""
33;Mes pas de danse sont pas toujours droits
35;Mais ça fait rire, ça met l'ambiance, c'est parfait
37;J'ai le trac, mais je m'en fous
39;Je veux chanter et faire mon show
41;Avec mes maladresses, je m'éclate
43;Je suis le roi de la zumba ratée
45;[ solo ]
53;J'ai le trac, mais je m'en fous
55;Je veux chanter et faire mon show
57;Avec mes maladresses, je m'éclate
59;Je suis le roi de la zumba ratée
61;[outro]
63;
