L'œil de lynx;
1;[intro]
9;In my mind, it's all in bright hues
11;Memories are neatly in their cues
13;I recall each face with such ease
15;Like it was yesterday, it’s a breeze
17;I have a visual memory
19;My brain’s a machine, it’s clear to see
21;I see it all, I recall it too
23;It's my superpower, it’s true!
25;[ … ]
29;I'm the Sherlock Holmes of daily life
31;Details never pass me by, no strife
33;I remember phone numbers with grace
35;Even after a single brief exchange
37;The hawk-eyed trait is my guide
39;I spot every clue that may hide
41;On photos, I zoom and scan
43;Nothing escapes me, I’m the keenest man
45;[ solo ]
53;I’ve got the memory of an elephant
55;But sometimes it’s quite apparent
57;I remember every little thing
59;Even those that seem mundane and bring
61;[outro]
63;
