Ma mémoire visuelle;
1;[intro]
9;When I was young, at school,
11;I thought I was a genius, so cool.
13;Without cracking a book, I played the role
15;Of the one who knew it all, I’d extol.
17;I have a visual memory,
19;In my mind, everything's so clear,
21;I see the colors, the details too,
23;It’s my superpower, and it's true.
25;[ … ]
29;One day, I lost my keys,
31;I searched high and low, with ease.
33;But suddenly, it came to me,
35;I knew exactly where they’d be, quite a spree!
37;I have a visual memory,
39;In my mind, everything's so clear,
41;I see the colors, the details too,
43;It’s my superpower, and it’s true.
45;[ solo ]
53;I have a visual memory,
55;In my mind, everything's so clear,
57;I see the colors, the details too,
59;It’s my superpower, and it's true.
61;[outro]
63;
