Dans ma tête;
1;intro]
9;When I see a photo or a painting so grand,
11;My mind takes flight, it’s part of my plan.
13;I remember every tiny little part,
15;As if a camera’s inside my heart.
17;I have a visual memory, so eclectic,
19;Remembering details, it’s almost magic.
21;In my mind, everything glows in pastel,
23;My visual memory, it’s truly special.
25;[ … ]
29;I recall each stranger’s face I’ve met,
31;Even years later, they’re not forgotten yet.
33;The paths I’ve walked, the landscapes I’ve seen,
35;In my visual memory, all is kept pristine.
37;I have a visual memory, so eclectic,
39;Remembering details, it’s almost magic.
41;In my mind, everything glows in pastel,
43;My visual memory, it’s truly special.
45;[ solo ]
53;So if you want to recall those precious times,
55;Open your eyes and let life’s colors shine.
57;For my visual memory is here to share,
59;With a touch of magic, forever there.
61;[outro]
63;
