Ma petite folie;
1;[intro]
9;I’m not here to dazzle or impress,
11;Big solos leave me quite perplexed.
13;I prefer jokes and funny faces,
15;Making people laugh is my favorite place.
17;I’m a quirky artist, it’s true,
19;Virtuosity’s never interested me, not a bit.
21;I’d rather have fun, be a little wild,
23;My little craziness makes me so cool and mild.
25;[ … ]
29;When I sing, it’s always outlandish,
31;Serious lyrics have never been my wish.
33;I prefer words that make you grin,
35;To make the crowds dance and spin.
37;I’m a quirky artist, it’s true,
39;Virtuosity’s never interested me, not a bit.
41;I’d rather have fun, be a little wild,
43;My little craziness makes me so cool and mild.
45;[ solo ]
53;So join me in this quirky dance,
55;Let’s ditch the norms, and take a chance.
57;For music’s all about joy and cheer,
59;And my little craziness makes us all feel near.
61;[outro]
63;
