On est des rockstars;
1;[intro]
9;I’ve never had a passion for virtuosity,
11;For me, it’s better to play without anxiety.
13;Perfect notes don’t make me thrill,
15;I’m here to have fun, just enjoying the thrill.
17;No need to be a pro, let me make it clear,
19;What matters is having fun, no need for cheers.
21;We’ll act like rockstars, living the dream,
23;Forget about virtuosity, it’s not our scene.
25;[ … ]
29;When I sing, it’s always offbeat,
31;Serious lyrics never caught my heat.
33;I prefer words that bring a smile,
35;To make the crowd dance and stay awhile.
37;No need to be a pro, let me make it clear,
39;What matters is having fun, no need for cheers.
41;We’ll act like rockstars, living the dream,
43;Forget about virtuosity, it’s not our scene.
45;[ solo ]
53;No need to be a pro, let me make it clear,
55;What matters is having fun, no need for cheers.
57;We’ll act like rockstars, living the dream,
59;Forget about virtuosity, it’s not our scene.
61;[outro]
63;
