Les clowns, je les déteste;
1;[intro]
9;One day at the circus, I got quite a shock,
11;A clown appeared right on my back like a rock.
13;He made me laugh, but I also shook with fear,
15;Those red noses give me sleepless nights, it’s clear.
17;Clowns, oh clowns, I just can’t stand,
19;Their funny faces make me feel so unplanned.
21;Clowns, oh clowns, I can't abide,
23;Their humor’s too strange for me to confide.
25;[ … ]
29;They wear huge shoes, their makeup’s a sight,
31;They juggle and dance with all their might.
33;They spin and they twirl, it’s quite a show,
35;But I’d rather listen to love songs, you know.
37;Clowns, oh clowns, I just can’t stand,
39;Their funny faces make me feel so unplanned.
41;Clowns, oh clowns, I can't abide,
43;Their humor’s too strange for me to confide.
45;[ solo ]
53;So don’t get mad, dear audience,
55;It’s just a song, no need for pretense.
57;Clowns will still make a grand sensation,
59;But I’ll remain the king of imitation.
61;[outro]
63;
