Couture show;
1;[intro]
9;When I wake up in the morning, I'm not super glam,
11;Sequins and makeup? Not my jam, ma’am.
13;But as soon as I show up, everyone’s in awe,
15;And all I want to do is hide—it's just a flaw.
17;I’m a pop star, the world adores,
19;But there’s one thing that still makes me sore.
21;People see me as too perfect, it’s true,
23;But I’m tired of the seams and what they construe.
25;[ … ]
29;I’m tired of smiling all the time for the cam,
31;My life’s not all sparkles and glam.
33;I want to be real, without masks or glitz,
35;The worth of a person isn’t in their bits.
37;It’s the Couture Show, but I don’t agree,
39;It’s my flaws I want to show, let them be.
41;"I’m not a doll; I’m just me,"
43;And if they see the seams, I’m fine, I’m free.
45;[ solo ]
53;It’s the Couture Show, but I don’t agree,
55;It’s my flaws I want to show, let them be.
57;"I’m not a doll; I’m just me,"
59;And if they see the seams, I’m fine, I’m free.
61;[outro]
63;
