Dans ma vie, tout est un film;
1;[intro]
9;In the morning, I rise like a star,
11;With my hair set to shine through the fog afar.
13;I put on my shades, ready to face
15;The day's adventures, whatever they embrace.
17;In my life, it's all a movie scene,
19;Adventures that make me feel so serene.
21;I only organize things like in a film,
23;It's my way of showing my thrill.
25;[ … ]
29;I stroll through the streets like a cowboy grand,
31;My dog by my side, my loyal band.
33;I make encounters, wild exchanges so neat,
35;In my mind, it's like living on a grand street.
37;In my life, it's all a movie scene,
39;Adventures that make me feel so serene.
41;I only organize things like in a film,
43;It's my way of showing my thrill.
45;[ solo ]
53;In my life, it's all a movie scene,
55;Adventures that make me feel so serene.
57;I only organize things like in a film,
59;It's my way of showing my thrill.
61;[outro]
63;
