Le bazar des étoiles;
1;[intro]
9;Je mets les chaussettes dans le frigo
11;Et les clés sur le rouleau de papier
13;Avec moi, c'est un joyeux chaos
15;La réalité, je préfère l'oublier
17;Dans ma vie, tout est décalé
19;Je range le monde à ma façon
21;Dans l'univers des films colorés
23;Le bazar des étoiles est ma maison
25;[ … ]
29;Le réveil sonne, mais je fais la grasse mat'
31;J'ai l'esprit éclectique, farfelu et fantasque
33;Dans ma chambre, je vis un vrai capharnaüm
35;Le désordre est ma muse, ma philosophie masquée
37;Je ne range les choses que dans les films
39;Pourquoi faire simple quand on peut faire compliqué?
41;Je m'évade dans l'imaginaire, c'est mon instinct
43;Le bazar des étoiles, c'est ma réalité déjantée
45;[ solo ]
53;Dans ma vie, tout est décalé
55;Je range le monde à ma façon
57;Dans l'univers des films colorés
59;Le bazar des étoiles est ma maison
61;[outro]
63;
