Le bazar est mon instinct;
1;[intro]
9;Je suis un peu flemmard, c'est vrai,
11;Dans ma tête, tout est en désordre parfait,
13;Mais dans les films, ah ça, tout est rangé,
15;Je suis un expert, je suis inspiré.
17;Je ne range les choses que dans les films,
19;Dans ma vie, le bazar est mon instinct,
21;Les objets volent, les vêtements se mélangent,
23;Dans mon monde, le désordre est un challenge.
25;[ … ]
29;Mes chaussettes n'ont pas de jumelles,
31;Mes clés se cachent dans les carnets de nouvelles,
33;Mais dans les films, c'est toujours impeccable,
35;Je fais semblant et c'est incroyable.
37;Je ne range les choses que dans les films,
39;Dans ma vie, le chaos est mon royaume,
41;Les papiers volent, les verres se cassent,
43;Dans mon univers, rien ne se passe.
45;[ solo ]
53;Je suis un artiste de la pagaille,
55;Mon désordre est ma meilleure bataille,
57;Alors je laisse tout en désordre complet,
59;Car dans les films, tout est parfaitement fait.
61;[outro]
63;
