Sans limite;
1;[intro]
9;Je suis un funambule sans équilibre
11;Dans ma folie, je prends le risque
13;Je marche sur les rêves, je suis agile
15;Les interdits, je les brise, je frise l'excès ludique
17;Je mets mon cœur sur la piste
19;J'essaie de danser sans limite
21;Je suis libre, je veux que ça persiste
23;Tous les obstacles, je les évite
25;[ … ]
29;Je trace mon chemin avec audace
31;Je suis un artiste, un phénomène de l'espace
33;Contre les conventions, je crée ma trace
35;Dans mes chansons, l'humour est ma grâce
37;Je m'élance sans une goutte de tristesse
39;Je me lance dans l'inconnu, je caresse le succès
41;Je vis ma vie sans faire preuve de sagesse
43;Dans mes limites, je ne vois que des fesses
45;[ solo ]
53;Je suis un funambule de l'évasion
55;Je défie les lois avec passion
57;Avec moi, l'ennui n'a pas de place
59;Suis-moi sans limite, vers notre propre espace
61;[outro]
63;
