Je suis addict à mon phone;
1;[intro]
9;Matin, midi et soir, je scrolle sans répit
11;Instagram, Snapchat, je suis toujours en éveil
13;Un message, une notification, c'est mon instant de joie
15;Je suis captivé, connecté, au bout de mes doigts
17;Toujours sur mon téléphone, je suis jamais seul
19;Les emojis, les likes, ça me rend les yeux tout fous
21;Mon portable, mon ami, mon amour virtuel
23;Je suis accro, oui c'est sûr, ça se voit dans mes yeux
25;[ … ]
29;Les amis réels, les sorties, ça me laisse de marbre
31;Je préfère les selfies, les filtres, c'est mon regard
33;Je suis en ligne, en permanence, je suis addictif
35;Mon téléphone est mon royaume, ça rend ma vie plus ludique
37;Mon téléphone, mon bébé, il est collé à ma main
39;Je le pose à peine une seconde, c'est plus fort que moi
41;Whatsapp, Facebook, tout le monde me retient
43;Je suis accro, oui c'est sûr, je perds la raison pour lui
45;[ solo ]
53;Toujours sur mon téléphone, je suis jamais seul
55;Les emojis, les likes, ça me rend les yeux tout fous
57;Mon portable, mon ami, mon amour virtuel
59;Je suis accro, oui c'est sûr, ça se voit dans mes yeux
61;[outro]
63;
